timestamp,Open,High,Low,Close
2005-01-31,0.7803,0.7946,0.7501,0.7749
2005-02-28,0.7746,0.7957,0.7609,0.7914
2005-03-31,0.786,0.799,0.7667,0.7726
2005-04-29,0.7725,0.7842,0.7624,0.7803
2005-05-31,0.7802,0.7827,0.7527,0.7558
2005-06-30,0.7551,0.7809,0.7472,0.7625
2005-07-29,0.761,0.7687,0.7363,0.7561
2005-08-31,0.7556,0.7755,0.7455,0.7543
2005-09-30,0.7542,0.7763,0.7527,0.7625
2005-10-31,0.7625,0.7647,0.7437,0.7479
2005-11-30,0.7479,0.7484,0.7261,0.7392
2005-12-30,0.7393,0.7579,0.7232,0.7337
2006-01-31,0.733,0.7587,0.7313,0.7579
2006-02-28,0.758,0.7588,0.734,0.7421
2006-03-31,0.7422,0.7486,0.7013,0.7163
2006-04-28,0.7153,0.7605,0.7113,0.7596
2006-05-31,0.7587,0.7792,0.7464,0.7518
2006-06-30,0.7522,0.7545,0.7267,0.7429
2006-07-31,0.743,0.7674,0.7399,0.7652
2006-08-31,0.7654,0.7713,0.755,0.7637
2006-09-29,0.7638,0.7719,0.7434,0.7459
2006-10-31,0.7451,0.7753,0.7413,0.7736
2006-11-30,0.7736,0.7901,0.7615,0.7889
2006-12-29,0.7886,0.8051,0.7781,0.7886
2007-01-31,0.7882,0.7979,0.7698,0.7767
2007-02-28,0.7769,0.7945,0.7707,0.7878
2007-03-30,0.788,0.8124,0.7681,0.8084
2007-04-30,0.8099,0.839,0.8065,0.83
2007-05-31,0.8298,0.835,0.8162,0.8277
2007-06-29,0.8279,0.852,0.8269,0.8492
2007-07-31,0.8492,0.887,0.846,0.8515
2007-08-31,0.8514,0.8661,0.7674,0.8176
2007-09-28,0.8169,0.8887,0.8162,0.8878
2007-10-31,0.888,0.9343,0.8752,0.9317
2007-11-30,0.9317,0.9399,0.8655,0.8843
2007-12-31,0.8828,0.8905,0.8551,0.8749
2008-01-31,0.8748,0.9017,0.8512,0.8953
2008-02-29,0.8955,0.9498,0.8878,0.932
2008-03-31,0.9326,0.9471,0.8953,0.9136
2008-04-30,0.9137,0.954,0.9029,0.9429
2008-05-30,0.9429,0.9638,0.9275,0.9558
2008-06-30,0.9546,0.9667,0.9326,0.9582
2008-07-31,0.9583,0.9848,0.9396,0.9413
2008-08-29,0.9413,0.9417,0.8496,0.8577
2008-09-30,0.8572,0.8579,0.7803,0.7942
2008-10-31,0.7939,0.8021,0.6012,0.6681
2008-11-28,0.6675,0.7015,0.6095,0.6544
2008-12-31,0.655,0.7139,0.6291,0.7023
2009-01-30,0.7054,0.7269,0.6346,0.6375
2009-02-27,0.6352,0.6849,0.6249,0.6385
2009-03-31,0.6389,0.7094,0.6281,0.6909
2009-04-30,0.6911,0.7384,0.6857,0.725
2009-05-29,0.725,0.8018,0.7242,0.8008
2009-06-30,0.8015,0.8264,0.779,0.8052
2009-07-31,0.8052,0.8368,0.7702,0.8359
2009-08-31,0.8356,0.8478,0.8155,0.8434
2009-09-30,0.8434,0.8847,0.8241,0.8835
2009-10-30,0.8837,0.9329,0.857,0.9001
2009-11-30,0.8996,0.9406,0.8908,0.9157
2009-12-31,0.916,0.9324,0.8733,0.8962
2010-01-29,0.8976,0.9329,0.8834,0.8835
2010-02-26,0.8841,0.9072,0.8579,0.8953
2010-03-31,0.8951,0.9252,0.8936,0.9164
2010-04-30,0.9165,0.9383,0.9131,0.9241
2010-05-31,0.9231,0.9275,0.8062,0.847
2010-06-30,0.8468,0.8859,0.8078,0.8406
2010-07-30,0.8407,0.9069,0.8313,0.9042
2010-08-31,0.9062,0.9221,0.8768,0.8925
2010-09-30,0.8925,0.9734,0.8908,0.9655
2010-10-29,0.9656,1.0002,0.9537,0.9835
2010-11-30,0.985,1.0183,0.9539,0.9587
2010-12-31,0.9582,1.0253,0.9533,1.0228
2011-01-31,1.0184,1.0227,0.98,0.9971
2011-02-28,0.9973,1.02,0.9939,1.0184
2011-03-31,1.0195,1.0374,0.9701,1.0329
2011-04-29,1.0331,1.098,1.0284,1.097
2011-05-31,1.0972,1.1008,1.0436,1.0657
2011-06-30,1.0676,1.0774,1.0387,1.0709
2011-07-29,1.0692,1.1078,1.0525,1.1005
2011-08-31,1.0998,1.1065,0.9929,1.0686
2011-09-30,1.0686,1.0764,0.962,0.966
2011-10-31,0.9682,1.0753,0.9387,1.0541
2011-11-30,1.0555,1.0591,0.9662,1.0282
2011-12-30,1.0238,1.0379,0.986,1.0206
2012-01-31,1.0217,1.0688,1.0144,1.0619
2012-02-29,1.0605,1.0856,1.0568,1.0732
2012-03-30,1.0728,1.0817,1.0303,1.0342
2012-04-30,1.0444,1.0474,1.0224,1.0427
2012-05-31,1.0427,1.0432,0.9672,0.9725
2012-06-29,0.9709,1.0261,0.958,1.0236
2012-07-31,1.0259,1.0538,1.0099,1.0491
2012-08-31,1.0491,1.0613,1.0274,1.0323
2012-09-28,1.0294,1.0624,1.0165,1.0375
2012-10-31,1.0356,1.0411,1.0147,1.0375
2012-11-30,1.0373,1.0489,1.0286,1.0423
2012-12-31,1.0425,1.0585,1.0319,1.0392
2013-01-31,1.0391,1.0601,1.0373,1.0424
2013-02-28,1.0422,1.0457,1.018,1.0213
2013-03-29,1.0213,1.0497,1.0111,1.0417
2013-04-30,1.0411,1.0582,1.0219,1.0366
2013-05-31,1.0366,1.0381,0.9527,0.9571
2013-06-28,0.9602,0.9791,0.9112,0.9142
2013-07-31,0.913,0.9313,0.8938,0.8957
2013-08-30,0.8946,0.9231,0.8847,0.8899
2013-09-30,0.8933,0.9527,0.8924,0.9319
2013-10-31,0.9323,0.9753,0.9296,0.9459
2013-11-29,0.9459,0.954,0.9056,0.9107
2013-12-31,0.9126,0.9167,0.8823,0.8915
