Date,Open,High,Low,Close,Adj Close,Volume
2014-01-04,1.642090082168579,1.651309609413147,1.634253978729248,1.6479079723358154,1.6479079723358154,0
2014-01-11,1.648505687713623,1.6510095596313477,1.6315076351165771,1.63529634475708,1.63529634475708,0
2014-01-18,1.6428993940353394,1.666638970375061,1.6398011445999146,1.6634783744812012,1.6634783744812012,0
2014-01-25,1.648641586303711,1.6621235609054565,1.6431694030761719,1.6498383283615112,1.6498383283615112,0
2014-02-01,1.6443040370941162,1.6448991298675537,1.6259105205535889,1.632200002670288,1.632200002670288,0
2014-02-08,1.6408774852752686,1.6742565631866455,1.6384848356246948,1.6657227277755737,1.6657227277755737,0
2014-02-15,1.6749016046524048,1.6821141242980957,1.6635059118270874,1.66616690158844,1.66616690158844,0
2014-02-22,1.6617920398712158,1.6759402751922607,1.6585948467254639,1.6691983938217163,1.6691983938217163,0
2014-03-01,1.6745089292526245,1.6785000562667847,1.6643089056015015,1.6741725206375122,1.6741725206375122,0
2014-03-08,1.6717934608459473,1.6745930910110474,1.6574127674102783,1.6625105142593384,1.6625105142593384,0
2014-03-15,1.665389895439148,1.6666944026947021,1.6476364135742188,1.6508733034133911,1.6508733034133911,0
2014-03-22,1.6489677429199219,1.6648907661437988,1.6463886499404907,1.6607985496520996,1.6607985496520996,0
2014-03-29,1.6640042066574097,1.6680846214294434,1.655930757522583,1.659888744354248,1.659888744354248,0
2014-04-05,1.6580997705459595,1.6823121309280396,1.6567811965942383,1.6777397394180298,1.6777397394180298,0
2014-04-12,1.6735001802444458,1.6842105388641357,1.6688083410263062,1.6786692142486572,1.6786692142486572,0
2014-04-19,1.6792893409729004,1.6840120553970337,1.6763615608215332,1.6809546947479248,1.6809546947479248,0
2014-04-26,1.6801921129226685,1.6913032531738281,1.6779930591583252,1.6895315647125244,1.6895315647125244,0
2014-05-03,1.687792181968689,1.6996396780014038,1.683359980583191,1.6935373544692993,1.6935373544692993,0
2014-05-10,1.6856868267059326,1.6903027296066284,1.6738643646240234,1.6795432567596436,1.6795432567596436,0
2014-05-17,1.6817463636398315,1.691818356513977,1.6805592775344849,1.6867388486862183,1.6867388486862183,0
2014-05-24,1.6835017204284668,1.6881341934204102,1.669811487197876,1.6724364757537842,1.6724364757537842,0
2014-05-31,1.6759121417999268,1.6844373941421509,1.6700066328048706,1.6810113191604614,1.6810113191604614,0
2014-06-07,1.6801921129226685,1.6992931365966797,1.6741725206375122,1.695892572402954,1.695892572402954,0
2014-06-14,1.6966118812561035,1.7061060667037964,1.6934226751327515,1.7040129899978638,1.7040129899978638,0
2014-06-21,1.7016063928604126,1.7050589323043823,1.6953750848770142,1.70253324508667,1.70253324508667,0
2014-06-28,1.7038096189498901,1.7180949449539185,1.7009406089782715,1.7152658700942993,1.7152658700942993,0
2014-07-05,1.7160606384277344,1.717209815979004,1.7089635133743286,1.713091492652893,1.713091492652893,0
